,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2002-08-30 16:00:00,2002-08-30 22:00:00,-10.0,-20.452597
1,2002-08-30 17:00:00,2002-08-30 23:00:00,-12.000000000000004,-24.600763
2,2002-08-30 18:00:00,2002-08-31 00:00:00,-15.0,-22.653055
3,2002-08-30 19:00:00,2002-08-31 01:00:00,-18.0,-14.983892
4,2002-08-30 20:00:00,2002-08-31 02:00:00,-16.0,-12.334547
5,2002-08-30 21:00:00,2002-08-31 03:00:00,-12.000000000000004,-11.692699
6,2002-08-30 22:00:00,2002-08-31 04:00:00,-13.0,-10.556606
7,2002-08-30 23:00:00,2002-08-31 05:00:00,-9.0,-10.635136
8,2002-08-31 00:00:00,2002-08-31 06:00:00,-1.0,-11.429869
9,2002-08-31 01:00:00,2002-08-31 07:00:00,1.0,-13.174686
10,2002-08-31 02:00:00,2002-08-31 08:00:00,3.0,-12.225176
11,2002-08-31 03:00:00,2002-08-31 09:00:00,-3.0,-12.259249
12,2002-08-31 04:00:00,2002-08-31 10:00:00,-11.0,-12.7749405
13,2002-08-31 05:00:00,2002-08-31 11:00:00,-17.0,-11.791616
14,2002-08-31 06:00:00,2002-08-31 12:00:00,-18.0,-9.657532
15,2002-08-31 07:00:00,2002-08-31 13:00:00,-23.0,-9.199873
16,2002-08-31 08:00:00,2002-08-31 14:00:00,-28.0,-9.939976
17,2002-08-31 09:00:00,2002-08-31 15:00:00,-30.0,-15.064453
18,2002-08-31 10:00:00,2002-08-31 16:00:00,-26.0,-20.87644
19,2002-08-31 11:00:00,2002-08-31 17:00:00,-27.0,-27.232191
20,2002-08-31 12:00:00,2002-08-31 18:00:00,-26.0,-35.368713
21,2002-08-31 13:00:00,2002-08-31 19:00:00,-20.0,-40.30985
22,2002-08-31 14:00:00,2002-08-31 20:00:00,-18.0,-32.308296
23,2002-08-31 15:00:00,2002-08-31 21:00:00,-20.0,-28.670128
24,2002-08-31 16:00:00,2002-08-31 22:00:00,-25.0,-27.940662
25,2002-08-31 17:00:00,2002-08-31 23:00:00,-32.0,-23.679016
26,2002-08-31 18:00:00,2002-09-01 00:00:00,-31.0,-18.744053
27,2002-08-31 19:00:00,2002-09-01 01:00:00,-26.0,-18.425055
28,2002-08-31 20:00:00,2002-09-01 02:00:00,-24.0,-19.021938
29,2002-08-31 21:00:00,2002-09-01 03:00:00,-19.0,-30.889008
30,2002-08-31 22:00:00,2002-09-01 04:00:00,-18.0,-32.426884
31,2002-08-31 23:00:00,2002-09-01 05:00:00,-15.0,-27.166767
32,2002-09-01 00:00:00,2002-09-01 06:00:00,-21.0,-31.59139
33,2002-09-01 01:00:00,2002-09-01 07:00:00,-18.0,-30.047174
34,2002-09-01 02:00:00,2002-09-01 08:00:00,-9.0,-22.212656
35,2002-09-01 03:00:00,2002-09-01 09:00:00,-5.0,-24.498575
36,2002-09-01 04:00:00,2002-09-01 10:00:00,-6.0,-17.646914
37,2002-09-01 05:00:00,2002-09-01 11:00:00,-6.0,-29.414429
38,2002-09-01 06:00:00,2002-09-01 12:00:00,-8.0,-19.362514
39,2002-09-01 07:00:00,2002-09-01 13:00:00,-6.0,-15.752838
40,2002-09-01 08:00:00,2002-09-01 14:00:00,-6.0,-12.8829
41,2002-09-01 09:00:00,2002-09-01 15:00:00,-10.0,-13.439178
42,2002-09-01 10:00:00,2002-09-01 16:00:00,-12.000000000000004,-12.496874
43,2002-09-01 11:00:00,2002-09-01 17:00:00,-11.0,-10.500734
44,2002-09-01 12:00:00,2002-09-01 18:00:00,-8.0,-7.9221454
45,2002-09-01 13:00:00,2002-09-01 19:00:00,-7.0000000000000036,-9.611736
46,2002-09-01 14:00:00,2002-09-01 20:00:00,-10.0,-13.598314
47,2002-09-01 15:00:00,2002-09-01 21:00:00,-10.0,-16.767628
