,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2013-03-13 07:00:00,2013-03-13 09:00:00,2.0,1.0340791
1,2013-03-13 08:00:00,2013-03-13 10:00:00,6.0,0.4418664
2,2013-03-13 09:00:00,2013-03-13 11:00:00,9.0,1.2162995
3,2013-03-13 10:00:00,2013-03-13 12:00:00,9.0,4.7656236
4,2013-03-13 11:00:00,2013-03-13 13:00:00,11.0,7.296847
5,2013-03-13 12:00:00,2013-03-13 14:00:00,11.0,7.8033204
6,2013-03-13 13:00:00,2013-03-13 15:00:00,10.0,9.4377
7,2013-03-13 14:00:00,2013-03-13 16:00:00,9.0,9.561323
8,2013-03-13 15:00:00,2013-03-13 17:00:00,7.0,9.48929
9,2013-03-13 16:00:00,2013-03-13 18:00:00,6.0,9.386766
10,2013-03-13 17:00:00,2013-03-13 19:00:00,8.0,8.0870075
11,2013-03-13 18:00:00,2013-03-13 20:00:00,9.0,6.6850343
12,2013-03-13 19:00:00,2013-03-13 21:00:00,9.0,7.777636
13,2013-03-13 20:00:00,2013-03-13 22:00:00,8.0,6.6860337
14,2013-03-13 21:00:00,2013-03-13 23:00:00,7.0,6.949782
15,2013-03-13 22:00:00,2013-03-14 00:00:00,8.0,8.868666
16,2013-03-13 23:00:00,2013-03-14 01:00:00,9.0,6.839873
17,2013-03-14 00:00:00,2013-03-14 02:00:00,11.0,10.1802845
18,2013-03-14 01:00:00,2013-03-14 03:00:00,11.0,11.300142
19,2013-03-14 02:00:00,2013-03-14 04:00:00,7.0,13.106428
20,2013-03-14 03:00:00,2013-03-14 05:00:00,6.0,13.320551
21,2013-03-14 04:00:00,2013-03-14 06:00:00,7.0,9.778769
22,2013-03-14 05:00:00,2013-03-14 07:00:00,6.0,10.623941
23,2013-03-14 06:00:00,2013-03-14 08:00:00,6.0,10.463747
24,2013-03-14 07:00:00,2013-03-14 09:00:00,9.0,9.179014
25,2013-03-14 08:00:00,2013-03-14 10:00:00,10.0,4.8814187
26,2013-03-14 09:00:00,2013-03-14 11:00:00,14.0,4.826632
27,2013-03-14 10:00:00,2013-03-14 12:00:00,15.0,6.356711
28,2013-03-14 11:00:00,2013-03-14 13:00:00,19.0,9.760401
29,2013-03-14 12:00:00,2013-03-14 14:00:00,18.0,10.718622
30,2013-03-14 13:00:00,2013-03-14 15:00:00,17.0,15.831484
31,2013-03-14 14:00:00,2013-03-14 16:00:00,10.0,8.84255
32,2013-03-14 15:00:00,2013-03-14 17:00:00,7.0,10.071672
33,2013-03-14 16:00:00,2013-03-14 18:00:00,4.0,8.827066
34,2013-03-14 17:00:00,2013-03-14 19:00:00,6.0,6.7047486
35,2013-03-14 18:00:00,2013-03-14 20:00:00,5.0,6.9207635
36,2013-03-14 19:00:00,2013-03-14 21:00:00,6.0,9.909857
37,2013-03-14 20:00:00,2013-03-14 22:00:00,5.0,7.317343
38,2013-03-14 21:00:00,2013-03-14 23:00:00,1.0,6.79637
39,2013-03-14 22:00:00,2013-03-15 00:00:00,1.0,5.915282
40,2013-03-14 23:00:00,2013-03-15 01:00:00,1.0,6.5393777
41,2013-03-15 00:00:00,2013-03-15 02:00:00,3.0,4.364119
42,2013-03-15 01:00:00,2013-03-15 03:00:00,2.0,3.9556718
43,2013-03-15 02:00:00,2013-03-15 04:00:00,1.0,4.6097283
44,2013-03-15 03:00:00,2013-03-15 05:00:00,12.000000000000007,3.983729
45,2013-03-15 04:00:00,2013-03-15 06:00:00,7.0,0.8915734
46,2013-03-15 05:00:00,2013-03-15 07:00:00,-6.0,-2.1227012
47,2013-03-15 06:00:00,2013-03-15 08:00:00,-5.0,-11.204899
48,2013-03-15 07:00:00,2013-03-15 09:00:00,2.0,-3.7614665
49,2013-03-15 08:00:00,2013-03-15 10:00:00,3.0,-5.5583777
50,2013-03-15 09:00:00,2013-03-15 11:00:00,3.0,-2.906591
51,2013-03-15 10:00:00,2013-03-15 12:00:00,1.0,1.2691636
52,2013-03-15 11:00:00,2013-03-15 13:00:00,3.0,2.324595
53,2013-03-15 12:00:00,2013-03-15 14:00:00,3.0,1.1383691
54,2013-03-15 13:00:00,2013-03-15 15:00:00,3.0,2.6662698
55,2013-03-15 14:00:00,2013-03-15 16:00:00,3.0,2.1356645
56,2013-03-15 15:00:00,2013-03-15 17:00:00,1.0,1.7612596
57,2013-03-15 16:00:00,2013-03-15 18:00:00,0.0,2.6999002
58,2013-03-15 17:00:00,2013-03-15 19:00:00,1.0,1.1105294
59,2013-03-15 18:00:00,2013-03-15 20:00:00,-1.0,0.1791215
60,2013-03-15 19:00:00,2013-03-15 21:00:00,-1.9999999999999964,0.5263505
61,2013-03-15 20:00:00,2013-03-15 22:00:00,-1.9999999999999964,-1.219892
62,2013-03-15 21:00:00,2013-03-15 23:00:00,-3.0,-2.0689883
63,2013-03-15 22:00:00,2013-03-16 00:00:00,-4.0,-1.8339076
64,2013-03-15 23:00:00,2013-03-16 01:00:00,-9.0,-3.8126216
65,2013-03-16 00:00:00,2013-03-16 02:00:00,-11.0,-6.4263167
66,2013-03-16 01:00:00,2013-03-16 03:00:00,-19.0,-11.531485
67,2013-03-16 02:00:00,2013-03-16 04:00:00,-19.0,-15.0875225
68,2013-03-16 03:00:00,2013-03-16 05:00:00,-22.0,-16.200735
69,2013-03-16 04:00:00,2013-03-16 06:00:00,-24.0,-18.366644
70,2013-03-16 05:00:00,2013-03-16 07:00:00,-22.0,-20.001476
71,2013-03-16 06:00:00,2013-03-16 08:00:00,-23.0,-17.930426
72,2013-03-16 07:00:00,2013-03-16 09:00:00,-25.0,-16.803267
73,2013-03-16 08:00:00,2013-03-16 10:00:00,-23.0,-21.998941
74,2013-03-16 09:00:00,2013-03-16 11:00:00,-16.0,-20.944
75,2013-03-16 10:00:00,2013-03-16 12:00:00,-9.0,-17.883354
76,2013-03-16 11:00:00,2013-03-16 13:00:00,-10.0,-11.803936
77,2013-03-16 12:00:00,2013-03-16 14:00:00,-10.0,-9.581312
78,2013-03-16 13:00:00,2013-03-16 15:00:00,-10.0,-10.350702
79,2013-03-16 14:00:00,2013-03-16 16:00:00,-11.0,-10.502502
80,2013-03-16 15:00:00,2013-03-16 17:00:00,-11.0,-10.878946
81,2013-03-16 16:00:00,2013-03-16 18:00:00,-9.0,-10.805731
82,2013-03-16 17:00:00,2013-03-16 19:00:00,-6.0,-9.268366
83,2013-03-16 18:00:00,2013-03-16 20:00:00,-6.0,-7.5114074
84,2013-03-16 19:00:00,2013-03-16 21:00:00,-7.0000000000000036,-7.0259013
85,2013-03-16 20:00:00,2013-03-16 22:00:00,-10.0,-5.839887
86,2013-03-16 21:00:00,2013-03-16 23:00:00,-9.0,-8.012449
87,2013-03-16 22:00:00,2013-03-17 00:00:00,-11.0,-6.9331927
88,2013-03-16 23:00:00,2013-03-17 01:00:00,-13.0,-7.096704
89,2013-03-17 00:00:00,2013-03-17 02:00:00,-11.0,-9.9303055
90,2013-03-17 01:00:00,2013-03-17 03:00:00,-8.0,-9.2103615
91,2013-03-17 02:00:00,2013-03-17 04:00:00,-8.0,-7.3635306
92,2013-03-17 03:00:00,2013-03-17 05:00:00,-7.0000000000000036,-5.3529296
93,2013-03-17 04:00:00,2013-03-17 06:00:00,15.0,-5.534698
94,2013-03-17 05:00:00,2013-03-17 07:00:00,-5.0,-7.4371486
95,2013-03-17 06:00:00,2013-03-17 08:00:00,-23.0,0.5601182
96,2013-03-17 07:00:00,2013-03-17 09:00:00,-66.0,-15.398916
97,2013-03-17 08:00:00,2013-03-17 10:00:00,-89.0,-58.295853
98,2013-03-17 09:00:00,2013-03-17 11:00:00,-82.0,-116.74619
