,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2006-04-09 20:00:00,2006-04-09 22:00:00,-41.0,-45.347755
1,2006-04-09 21:00:00,2006-04-09 23:00:00,-34.0,-44.43583
2,2006-04-09 22:00:00,2006-04-10 00:00:00,-36.0,-39.994495
3,2006-04-09 23:00:00,2006-04-10 01:00:00,-39.0,-38.081852
4,2006-04-10 00:00:00,2006-04-10 02:00:00,-43.0,-37.47404
5,2006-04-10 01:00:00,2006-04-10 03:00:00,-51.0,-41.102028
6,2006-04-10 02:00:00,2006-04-10 04:00:00,-55.0,-42.717133
7,2006-04-10 03:00:00,2006-04-10 05:00:00,-48.0,-45.032944
8,2006-04-10 04:00:00,2006-04-10 06:00:00,-43.0,-45.644165
9,2006-04-10 05:00:00,2006-04-10 07:00:00,-42.0,-42.544724
10,2006-04-10 06:00:00,2006-04-10 08:00:00,-33.0,-41.597675
11,2006-04-10 07:00:00,2006-04-10 09:00:00,-27.0,-40.07411
12,2006-04-10 08:00:00,2006-04-10 10:00:00,-26.0,-32.390987
13,2006-04-10 09:00:00,2006-04-10 11:00:00,-27.0,-28.135843
14,2006-04-10 10:00:00,2006-04-10 12:00:00,-32.0,-29.024761
15,2006-04-10 11:00:00,2006-04-10 13:00:00,-36.0,-29.793528
16,2006-04-10 12:00:00,2006-04-10 14:00:00,-37.0,-32.94775
17,2006-04-10 13:00:00,2006-04-10 15:00:00,-39.0,-31.760178
18,2006-04-10 14:00:00,2006-04-10 16:00:00,-41.0,-33.625797
19,2006-04-10 15:00:00,2006-04-10 17:00:00,-39.0,-36.63169
20,2006-04-10 16:00:00,2006-04-10 18:00:00,-36.0,-35.89386
21,2006-04-10 17:00:00,2006-04-10 19:00:00,-36.0,-33.15224
22,2006-04-10 18:00:00,2006-04-10 20:00:00,-35.0,-32.624756
23,2006-04-10 19:00:00,2006-04-10 21:00:00,-36.0,-32.774338
24,2006-04-10 20:00:00,2006-04-10 22:00:00,-35.0,-31.483883
25,2006-04-10 21:00:00,2006-04-10 23:00:00,-31.0,-32.01305
26,2006-04-10 22:00:00,2006-04-11 00:00:00,-24.0,-31.742996
27,2006-04-10 23:00:00,2006-04-11 01:00:00,-22.0,-27.978848
28,2006-04-11 00:00:00,2006-04-11 02:00:00,-24.0,-23.362482
29,2006-04-11 01:00:00,2006-04-11 03:00:00,-28.0,-22.549395
