,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2001-04-13 17:00:00,2001-04-13 19:00:00,-56.0,-56.034977
1,2001-04-13 18:00:00,2001-04-13 20:00:00,-66.0,-55.457253
2,2001-04-13 19:00:00,2001-04-13 21:00:00,-68.0,-52.1181
3,2001-04-13 20:00:00,2001-04-13 22:00:00,-71.0,-59.45845
4,2001-04-13 21:00:00,2001-04-13 23:00:00,-75.0,-60.663883
5,2001-04-13 22:00:00,2001-04-14 00:00:00,-75.0,-62.155655
6,2001-04-13 23:00:00,2001-04-14 01:00:00,-68.0,-65.50101
7,2001-04-14 00:00:00,2001-04-14 02:00:00,-64.0,-64.85456
8,2001-04-14 01:00:00,2001-04-14 03:00:00,-57.0,-60.66366
9,2001-04-14 02:00:00,2001-04-14 04:00:00,-53.0,-60.70439
10,2001-04-14 03:00:00,2001-04-14 05:00:00,-48.0,-53.715816
11,2001-04-14 04:00:00,2001-04-14 06:00:00,-53.0,-51.867496
12,2001-04-14 05:00:00,2001-04-14 07:00:00,-40.0,-47.924404
13,2001-04-14 06:00:00,2001-04-14 08:00:00,-41.0,-49.16559
14,2001-04-14 07:00:00,2001-04-14 09:00:00,-39.0,-45.748386
15,2001-04-14 08:00:00,2001-04-14 10:00:00,-45.0,-41.377487
16,2001-04-14 09:00:00,2001-04-14 11:00:00,-43.0,-40.787457
17,2001-04-14 10:00:00,2001-04-14 12:00:00,-38.0,-40.519318
18,2001-04-14 11:00:00,2001-04-14 13:00:00,-33.0,-38.176216
19,2001-04-14 12:00:00,2001-04-14 14:00:00,-35.0,-40.074028
20,2001-04-14 13:00:00,2001-04-14 15:00:00,-40.0,-33.99497
21,2001-04-14 14:00:00,2001-04-14 16:00:00,-38.0,-36.335094
22,2001-04-14 15:00:00,2001-04-14 17:00:00,-35.0,-37.889484
23,2001-04-14 16:00:00,2001-04-14 18:00:00,-30.0,-38.88007
24,2001-04-14 17:00:00,2001-04-14 19:00:00,-30.0,-33.28605
25,2001-04-14 18:00:00,2001-04-14 20:00:00,-28.0,-29.233421
26,2001-04-14 19:00:00,2001-04-14 21:00:00,-29.0,-28.98588
27,2001-04-14 20:00:00,2001-04-14 22:00:00,-32.0,-27.325993
28,2001-04-14 21:00:00,2001-04-14 23:00:00,-35.0,-27.89151
29,2001-04-14 22:00:00,2001-04-15 00:00:00,-36.0,-29.602566
30,2001-04-14 23:00:00,2001-04-15 01:00:00,-36.0,-32.248676
31,2001-04-15 00:00:00,2001-04-15 02:00:00,-37.0,-32.329575
32,2001-04-15 01:00:00,2001-04-15 03:00:00,-34.0,-31.737757
33,2001-04-15 02:00:00,2001-04-15 04:00:00,-35.0,-33.527016
34,2001-04-15 03:00:00,2001-04-15 05:00:00,-33.0,-31.58559
35,2001-04-15 04:00:00,2001-04-15 06:00:00,-35.0,-32.5599
36,2001-04-15 05:00:00,2001-04-15 07:00:00,-34.0,-31.566544
37,2001-04-15 06:00:00,2001-04-15 08:00:00,-37.0,-34.462074
38,2001-04-15 07:00:00,2001-04-15 09:00:00,-37.0,-32.25446
39,2001-04-15 08:00:00,2001-04-15 10:00:00,-38.0,-34.72897
40,2001-04-15 09:00:00,2001-04-15 11:00:00,-38.0,-31.406229
41,2001-04-15 10:00:00,2001-04-15 12:00:00,-35.0,-34.55535
42,2001-04-15 11:00:00,2001-04-15 13:00:00,-30.0,-34.167843
43,2001-04-15 12:00:00,2001-04-15 14:00:00,-29.0,-31.835909
44,2001-04-15 13:00:00,2001-04-15 15:00:00,-29.0,-28.148777
45,2001-04-15 14:00:00,2001-04-15 16:00:00,-30.0,-27.661993
46,2001-04-15 15:00:00,2001-04-15 17:00:00,-25.0,-27.029947
47,2001-04-15 16:00:00,2001-04-15 18:00:00,-22.0,-26.610765
48,2001-04-15 17:00:00,2001-04-15 19:00:00,-21.0,-24.122305
49,2001-04-15 18:00:00,2001-04-15 20:00:00,-20.0,-22.363855
50,2001-04-15 19:00:00,2001-04-15 21:00:00,-21.0,-21.578386
51,2001-04-15 20:00:00,2001-04-15 22:00:00,-25.0,-20.767715
52,2001-04-15 21:00:00,2001-04-15 23:00:00,-30.0,-22.12579
53,2001-04-15 22:00:00,2001-04-16 00:00:00,-33.0,-24.772026
54,2001-04-15 23:00:00,2001-04-16 01:00:00,-36.0,-28.514612
