,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,15.38203927193121,2024-07-20 16:03:37.996845,2024-07-20 16:03:38.193226,0 days 00:00:00.196381,1000.0,1.0,5,10.0,scale,poly,0,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
1,1,0.23516795603081125,2024-07-20 16:03:38.797090,2024-07-20 16:03:41.451413,0 days 00:00:02.654323,0.001,1.0,4,0.01,scale,poly,1,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
2,2,15.38203927193121,2024-07-20 16:03:41.508117,2024-07-20 16:03:41.691311,0 days 00:00:00.183194,1.0,0.1,5,10.0,scale,poly,2,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
3,3,15.38203927193121,2024-07-20 16:03:41.733103,2024-07-20 16:03:41.928381,0 days 00:00:00.195278,1.0,1.0,5,10.0,scale,poly,3,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
4,4,176.3987134635671,2024-07-20 16:03:41.976892,2024-07-20 16:03:43.656572,0 days 00:00:01.679680,1.0,0.1,5,0.31622776601683794,scale,poly,4,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
5,5,0.6554351475333461,2024-07-20 16:03:43.714793,2024-07-20 16:03:46.238300,0 days 00:00:02.523507,0.001,0.1,3,0.01,scale,poly,5,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
6,6,0.6183460896368094,2024-07-20 16:03:46.289517,2024-07-20 16:03:47.037387,0 days 00:00:00.747870,0.001,1.0,5,0.31622776601683794,scale,poly,6,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
7,7,15.38203927193121,2024-07-20 16:03:47.098357,2024-07-20 16:03:47.294213,0 days 00:00:00.195856,1.0,1.0,4,10.0,scale,poly,7,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
8,8,15.38203927193121,2024-07-20 16:03:47.340460,2024-07-20 16:03:47.525369,0 days 00:00:00.184909,0.001,1.0,3,10.0,scale,poly,8,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
9,9,208.89751822213475,2024-07-20 16:03:47.568305,2024-07-20 16:03:53.153121,0 days 00:00:05.584816,1.0,0.1,5,0.01,scale,poly,9,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
10,10,,2024-07-20 16:03:53.209240,2024-07-20 16:05:53.449471,0 days 00:02:00.240231,1000.0,0.1,3,0.01,scale,poly,10,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
11,11,0.6990352174213729,2024-07-20 16:05:53.489266,2024-07-20 16:05:56.170453,0 days 00:00:02.681187,0.001,0.1,4,0.01,scale,poly,11,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
12,12,2.4442032193692,2024-07-20 16:05:56.239468,2024-07-20 16:05:58.422461,0 days 00:00:02.182993,1000.0,1.0,5,0.31622776601683794,scale,poly,12,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
13,13,15.38203927193121,2024-07-20 16:05:58.486417,2024-07-20 16:05:58.669589,0 days 00:00:00.183172,1000.0,0.1,3,10.0,scale,poly,13,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
14,14,0.6614097205921574,2024-07-20 16:05:58.713703,2024-07-20 16:06:00.496297,0 days 00:00:01.782594,0.001,0.1,3,0.31622776601683794,scale,poly,14,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
15,15,,2024-07-20 16:06:00.539098,2024-07-20 16:08:00.723388,0 days 00:02:00.184290,1000.0,1.0,4,0.01,scale,poly,15,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
16,16,344.16106293108083,2024-07-20 16:08:00.760297,2024-07-20 16:08:02.798343,0 days 00:00:02.038046,1000.0,0.1,5,0.31622776601683794,scale,poly,16,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
