,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,15.38203927193121,2024-07-20 15:03:59.595673,2024-07-20 15:03:59.754525,0 days 00:00:00.158852,19.306977288832496,10.0,linear,0,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
1,1,0.09106032912654978,2024-07-20 15:03:59.800140,2024-07-20 15:04:03.531936,0 days 00:00:03.731796,0.02682695795279726,0.1,linear,1,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
2,2,0.09262365115512576,2024-07-20 15:04:03.667575,2024-07-20 15:04:10.055316,0 days 00:00:06.387741,0.02682695795279726,0.0001,linear,2,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
3,3,,2024-07-20 15:04:10.094557,2024-07-20 15:06:10.214667,0 days 00:02:00.120110,3.7275937203149416,0.01,linear,3,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
4,4,0.1135256018214239,2024-07-20 15:06:10.245238,2024-07-20 15:06:12.680456,0 days 00:00:02.435218,0.001,0.0001,linear,4,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
5,5,0.15202013910389142,2024-07-20 15:06:12.737667,2024-07-20 15:06:13.746160,0 days 00:00:01.008493,0.7196856730011522,1.0,linear,5,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
6,6,0.09114879509321813,2024-07-20 15:06:13.805262,2024-07-20 15:07:34.849784,0 days 00:01:21.044522,0.7196856730011522,0.01,linear,6,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
7,7,0.13456937839519337,2024-07-20 15:07:34.893620,2024-07-20 15:07:35.194705,0 days 00:00:00.301085,0.13894954943731375,1.0,linear,7,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
8,8,0.09145329887405526,2024-07-20 15:07:35.238574,2024-07-20 15:09:05.439751,0 days 00:01:30.201177,0.7196856730011522,0.0001,linear,8,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
9,9,0.09166767909429684,2024-07-20 15:09:05.499238,2024-07-20 15:09:26.754600,0 days 00:00:21.255362,0.13894954943731375,0.0001,linear,9,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
10,10,,2024-07-20 15:09:26.815590,2024-07-20 15:11:27.079791,0 days 00:02:00.264201,3.7275937203149416,0.0001,linear,10,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
11,11,15.38203927193121,2024-07-20 15:11:27.119896,2024-07-20 15:11:27.249314,0 days 00:00:00.129418,0.13894954943731375,10.0,linear,11,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
12,12,15.38203927193121,2024-07-20 15:11:27.295410,2024-07-20 15:11:27.435232,0 days 00:00:00.139822,0.001,10.0,linear,12,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
13,13,0.0961787611166145,2024-07-20 15:11:27.475779,2024-07-20 15:11:31.395699,0 days 00:00:03.919920,0.005179474679231213,0.0001,linear,13,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
