,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
20,20,15.354493956355276,2024-07-20 15:37:12.306550,2024-07-20 15:37:13.440058,0 days 00:00:01.133508,1.0,0.1,4,10.0,scale,poly,20,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
21,21,1.4808076832216162,2024-07-20 15:37:13.770355,2024-07-20 15:38:07.424738,0 days 00:00:53.654383,0.001,0.1,5,0.31622776601683794,scale,poly,21,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
22,22,0.376860330687938,2024-07-20 15:38:07.730383,2024-07-20 15:38:31.126976,0 days 00:00:23.396593,0.001,1.0,4,0.31622776601683794,scale,poly,22,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
23,23,15.354493956355276,2024-07-20 15:38:31.471705,2024-07-20 15:38:32.469794,0 days 00:00:00.998089,1000.0,0.1,5,10.0,scale,poly,23,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
24,24,6.875480920290704,2024-07-20 15:38:32.781819,2024-07-20 15:39:04.173070,0 days 00:00:31.391251,1.0,0.1,4,0.31622776601683794,scale,poly,24,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
25,25,,2024-07-20 15:39:04.618108,2024-07-20 15:41:06.254095,0 days 00:02:01.635987,1000.0,0.1,5,0.01,scale,poly,25,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
26,26,,2024-07-20 15:41:06.481607,2024-07-20 15:43:07.531824,0 days 00:02:01.050217,1000.0,0.1,4,0.01,scale,poly,26,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
27,27,15.354493956355276,2024-07-20 15:43:07.787861,2024-07-20 15:43:08.999801,0 days 00:00:01.211940,0.001,1.0,3,10.0,scale,poly,27,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
28,28,8.754388615753802,2024-07-20 15:43:09.362816,2024-07-20 15:45:04.402818,0 days 00:01:55.040002,1000.0,1.0,5,0.31622776601683794,scale,poly,28,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
29,29,15.354493956355276,2024-07-20 15:45:04.718828,2024-07-20 15:45:05.930724,0 days 00:00:01.211896,1.0,1.0,3,10.0,scale,poly,29,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
30,30,15.354493956355276,2024-07-20 15:45:06.262623,2024-07-20 15:45:07.516741,0 days 00:00:01.254118,0.001,1.0,4,10.0,scale,poly,30,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
31,31,0.3786652893677764,2024-07-20 15:45:07.903531,2024-07-20 15:46:41.414035,0 days 00:01:33.510504,0.001,1.0,4,0.01,scale,poly,31,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
32,32,15.354493956355276,2024-07-20 15:46:41.833813,2024-07-20 15:46:43.005990,0 days 00:00:01.172177,1000.0,1.0,3,10.0,scale,poly,32,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
33,33,0.7593936943229146,2024-07-20 15:46:43.508750,2024-07-20 15:48:16.565148,0 days 00:01:33.056398,0.001,0.1,4,0.01,scale,poly,33,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
34,34,360.6698660398524,2024-07-20 15:48:16.986982,2024-07-20 15:49:38.734241,0 days 00:01:21.747259,1000.0,0.1,5,0.31622776601683794,scale,poly,34,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
35,35,,2024-07-20 15:49:39.251257,2024-07-20 15:51:41.105856,0 days 00:02:01.854599,1.0,0.1,3,0.01,scale,poly,35,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
36,36,15.354493956355276,2024-07-20 15:51:41.406844,2024-07-20 15:51:42.679767,0 days 00:00:01.272923,0.001,0.1,5,10.0,scale,poly,36,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
37,37,,2024-07-20 15:51:43.035702,2024-07-20 15:53:44.498694,0 days 00:02:01.462992,1.0,0.1,4,0.01,scale,poly,37,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
38,38,15.354493956355276,2024-07-20 15:53:44.891835,2024-07-20 15:53:46.300925,0 days 00:00:01.409090,0.001,0.1,3,10.0,scale,poly,38,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
39,39,141.3452065864182,2024-07-20 15:53:46.766883,2024-07-20 15:54:42.622778,0 days 00:00:55.855895,1.0,0.1,5,0.31622776601683794,scale,poly,39,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
40,40,15.354493956355276,2024-07-20 15:54:42.900768,2024-07-20 15:54:44.035625,0 days 00:00:01.134857,0.001,1.0,5,10.0,scale,poly,40,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
41,41,15.354493956355276,2024-07-20 15:54:44.361688,2024-07-20 15:54:46.019970,0 days 00:00:01.658282,1.0,0.1,3,10.0,scale,poly,41,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
42,42,0.6554186280203608,2024-07-20 15:54:46.589822,2024-07-20 15:56:16.315811,0 days 00:01:29.725989,0.001,1.0,5,0.01,scale,poly,42,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
43,43,0.7348936659312006,2024-07-20 15:56:16.620692,2024-07-20 15:57:48.946482,0 days 00:01:32.325790,0.001,0.1,3,0.01,scale,poly,43,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
