,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
15,15,,2024-07-20 13:30:14.411294,2024-07-20 13:32:14.777763,0 days 00:02:00.366469,100.0,1.0,linear,15,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
16,16,,2024-07-20 13:32:14.867445,2024-07-20 13:34:15.173913,0 days 00:02:00.306468,19.306977288832496,0.1,linear,16,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
17,17,,2024-07-20 13:34:15.325652,2024-07-20 13:36:15.785143,0 days 00:02:00.459491,100.0,0.1,linear,17,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
18,18,,2024-07-20 13:36:15.917236,2024-07-20 13:38:16.407276,0 days 00:02:00.490040,19.306977288832496,0.0001,linear,18,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
19,19,,2024-07-20 13:38:16.538212,2024-07-20 13:40:17.089058,0 days 00:02:00.550846,0.13894954943731375,0.01,linear,19,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
20,20,0.2803958953999147,2024-07-20 13:40:17.429282,2024-07-20 13:41:09.135260,0 days 00:00:51.705978,0.001,0.001,linear,20,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
21,21,0.26402825037890754,2024-07-20 13:41:09.354146,2024-07-20 13:41:58.805434,0 days 00:00:49.451288,0.005179474679231213,0.001,linear,21,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
22,22,,2024-07-20 13:41:58.955774,2024-07-20 13:43:59.388931,0 days 00:02:00.433157,0.13894954943731375,0.0001,linear,22,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
23,23,0.25958099338247687,2024-07-20 13:43:59.512851,2024-07-20 13:45:27.482826,0 days 00:01:27.969975,0.02682695795279726,0.001,linear,23,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
24,24,,2024-07-20 13:45:27.739614,2024-07-20 13:47:28.242846,0 days 00:02:00.503232,3.7275937203149416,1.0,linear,24,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
