,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
28,28,15.329145935278072,2024-07-20 14:02:45.373883,2024-07-20 14:02:45.767784,0 days 00:00:00.393901,0.001,10.0,linear,28,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
29,29,,2024-07-20 14:02:45.902199,2024-07-20 14:04:46.279927,0 days 00:02:00.377728,3.7275937203149416,0.0001,linear,29,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
30,30,15.329145935278072,2024-07-20 14:04:46.412634,2024-07-20 14:04:46.772978,0 days 00:00:00.360344,0.13894954943731375,10.0,linear,30,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
31,31,,2024-07-20 14:04:46.915413,2024-07-20 14:06:47.434710,0 days 00:02:00.519297,3.7275937203149416,0.01,linear,31,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
32,32,15.329145935278072,2024-07-20 14:06:47.768449,2024-07-20 14:06:48.662808,0 days 00:00:00.894359,0.02682695795279726,10.0,linear,32,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
33,33,15.329145935278072,2024-07-20 14:06:48.864799,2024-07-20 14:06:49.362700,0 days 00:00:00.497901,3.7275937203149416,10.0,linear,33,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
34,34,0.4099306492072615,2024-07-20 14:06:49.546714,2024-07-20 14:07:41.633882,0 days 00:00:52.087168,0.005179474679231213,0.0001,linear,34,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
35,35,,2024-07-20 14:07:41.796573,2024-07-20 14:09:42.257980,0 days 00:02:00.461407,19.306977288832496,0.001,linear,35,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
36,36,0.4258020129506219,2024-07-20 14:09:42.499881,2024-07-20 14:10:24.253872,0 days 00:00:41.753991,0.001,0.001,linear,36,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
37,37,0.40664680590674335,2024-07-20 14:10:24.700766,2024-07-20 14:11:01.740827,0 days 00:00:37.040061,0.005179474679231213,0.1,linear,37,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
38,38,,2024-07-20 14:11:01.932661,2024-07-20 14:13:02.337941,0 days 00:02:00.405280,100.0,0.001,linear,38,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
39,39,,2024-07-20 14:13:02.482780,2024-07-20 14:15:02.936972,0 days 00:02:00.454192,0.13894954943731375,0.01,linear,39,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
40,40,0.5000414878565151,2024-07-20 14:15:03.083580,2024-07-20 14:15:06.437903,0 days 00:00:03.354323,0.001,1.0,linear,40,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
41,41,0.42199822102239304,2024-07-20 14:15:06.660889,2024-07-20 14:15:47.948808,0 days 00:00:41.287919,0.001,0.1,linear,41,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
42,42,,2024-07-20 14:15:48.152703,2024-07-20 14:17:48.748836,0 days 00:02:00.596133,0.13894954943731375,0.001,linear,42,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
43,43,0.40905511542855744,2024-07-20 14:17:48.950850,2024-07-20 14:18:54.776869,0 days 00:01:05.826019,0.005179474679231213,0.01,linear,43,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
44,44,,2024-07-20 14:18:55.030326,2024-07-20 14:20:55.594826,0 days 00:02:00.564500,19.306977288832496,0.0001,linear,44,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
45,45,0.43055035737080266,2024-07-20 14:20:55.742942,2024-07-20 14:21:09.053896,0 days 00:00:13.310954,0.13894954943731375,1.0,linear,45,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
46,46,0.40583392492463893,2024-07-20 14:21:09.503927,2024-07-20 14:23:02.923720,0 days 00:01:53.419793,0.02682695795279726,0.001,linear,46,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
47,47,,2024-07-20 14:23:03.127212,2024-07-20 14:25:03.926908,0 days 00:02:00.799696,100.0,0.1,linear,47,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
