,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,,2024-07-20 13:29:53.151009,2024-07-20 13:31:53.371655,0 days 00:02:00.220646,100.0,0.01,linear,0,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
1,1,0.40516838400035154,2024-07-20 13:31:53.422718,2024-07-20 13:32:55.620651,0 days 00:01:02.197933,0.13894954943731375,0.01,linear,1,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
2,2,0.42561430378308496,2024-07-20 13:32:55.733593,2024-07-20 13:33:15.298446,0 days 00:00:19.564853,0.001,0.001,linear,2,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
3,3,15.329145935278072,2024-07-20 13:33:15.370586,2024-07-20 13:33:15.595243,0 days 00:00:00.224657,0.13894954943731375,10.0,linear,3,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
4,4,,2024-07-20 13:33:15.652062,2024-07-20 13:35:15.841246,0 days 00:02:00.189184,100.0,0.0001,linear,4,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
5,5,0.40903338970229386,2024-07-20 13:35:15.964449,2024-07-20 13:35:33.909143,0 days 00:00:17.944694,0.005179474679231213,0.01,linear,5,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
6,6,,2024-07-20 13:35:33.998473,2024-07-20 13:37:34.249090,0 days 00:02:00.250617,3.7275937203149416,0.1,linear,6,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
7,7,0.43257720741567507,2024-07-20 13:37:34.344890,2024-07-20 13:38:02.003665,0 days 00:00:27.658775,0.7196856730011522,1.0,linear,7,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
8,8,,2024-07-20 13:38:02.217925,2024-07-20 13:40:02.614964,0 days 00:02:00.397039,0.7196856730011522,0.1,linear,8,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
9,9,0.4478513524805746,2024-07-20 13:40:02.739785,2024-07-20 13:40:06.851938,0 days 00:00:04.112153,0.005179474679231213,1.0,linear,9,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
10,10,0.4249090935050163,2024-07-20 13:40:07.166909,2024-07-20 13:40:40.100154,0 days 00:00:32.933245,0.001,0.01,linear,10,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
11,11,,2024-07-20 13:40:40.237613,2024-07-20 13:42:40.631011,0 days 00:02:00.393398,100.0,0.001,linear,11,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
12,12,0.4058470092945453,2024-07-20 13:42:40.818722,2024-07-20 13:43:51.844939,0 days 00:01:11.026217,0.02682695795279726,0.001,linear,12,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
13,13,,2024-07-20 13:43:52.008178,2024-07-20 13:45:52.342857,0 days 00:02:00.334679,3.7275937203149416,0.0001,linear,13,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
14,14,,2024-07-20 13:45:52.436781,2024-07-20 13:47:52.769809,0 days 00:02:00.333028,3.7275937203149416,0.001,linear,14,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
15,15,15.329145935278072,2024-07-20 13:47:52.860320,2024-07-20 13:47:53.419805,0 days 00:00:00.559485,3.7275937203149416,10.0,linear,15,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
16,16,0.5006180970724257,2024-07-20 13:47:53.617839,2024-07-20 13:47:56.623323,0 days 00:00:03.005484,0.001,1.0,linear,16,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
17,17,,2024-07-20 13:47:56.784331,2024-07-20 13:49:57.223841,0 days 00:02:00.439510,100.0,1.0,linear,17,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
18,18,0.4017928218995875,2024-07-20 13:49:57.308174,2024-07-20 13:51:06.516859,0 days 00:01:09.208685,0.02682695795279726,0.1,linear,18,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
19,19,15.329145935278072,2024-07-20 13:51:06.755498,2024-07-20 13:51:07.417818,0 days 00:00:00.662320,0.005179474679231213,10.0,linear,19,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
20,20,,2024-07-20 13:51:07.643889,2024-07-20 13:52:47.929873,0 days 00:01:40.285984,0.13894954943731375,0.0001,linear,20,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
21,21,15.329145935278072,2024-07-20 13:54:41.556257,2024-07-20 13:54:41.774237,0 days 00:00:00.217980,0.7196856730011522,10.0,linear,21,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
22,22,,2024-07-20 13:54:41.833229,2024-07-20 13:56:42.035334,0 days 00:02:00.202105,3.7275937203149416,0.001,linear,22,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
23,23,,2024-07-20 13:56:42.091306,2024-07-20 13:58:42.299699,0 days 00:02:00.208393,100.0,0.01,linear,23,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
24,24,,2024-07-20 13:58:42.366834,2024-07-20 14:00:42.631823,0 days 00:02:00.264989,0.7196856730011522,0.01,linear,24,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
25,25,15.329145935278072,2024-07-20 14:00:42.708018,2024-07-20 14:00:43.033700,0 days 00:00:00.325682,19.306977288832496,10.0,linear,25,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
26,26,0.4480441457764101,2024-07-20 14:00:43.148559,2024-07-20 14:00:44.874343,0 days 00:00:01.725784,0.005179474679231213,1.0,linear,26,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
27,27,,2024-07-20 14:00:44.969132,2024-07-20 14:02:45.265810,0 days 00:02:00.296678,19.306977288832496,0.01,linear,27,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
