,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,,2024-07-20 15:28:03.879824,2024-07-20 15:30:05.049929,0 days 00:02:01.170105,1000.0,0.1,4,0.01,scale,poly,0,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
1,1,0.4946255993343919,2024-07-20 15:30:05.271441,2024-07-20 15:30:35.796214,0 days 00:00:30.524773,0.001,1.0,4,0.31622776601683794,scale,poly,1,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
2,2,0.48052643688403973,2024-07-20 15:30:36.181350,2024-07-20 15:31:57.494839,0 days 00:01:21.313489,0.001,1.0,3,0.01,scale,poly,2,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
3,3,0.6667400418785182,2024-07-20 15:31:57.796862,2024-07-20 15:32:21.593994,0 days 00:00:23.797132,0.001,1.0,5,0.31622776601683794,scale,poly,3,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
4,4,15.329145935278072,2024-07-20 15:32:22.102606,2024-07-20 15:32:23.997065,0 days 00:00:01.894459,0.001,1.0,5,10.0,scale,poly,4,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
5,5,15.329145935278072,2024-07-20 15:32:24.611768,2024-07-20 15:32:25.963777,0 days 00:00:01.352009,1.0,1.0,4,10.0,scale,poly,5,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
6,6,,2024-07-20 15:32:26.267696,2024-07-20 15:34:27.204863,0 days 00:02:00.937167,1000.0,0.1,3,0.31622776601683794,scale,poly,6,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
7,7,15.329145935278072,2024-07-20 15:34:27.550898,2024-07-20 15:34:29.594005,0 days 00:00:02.043107,1000.0,0.1,3,10.0,scale,poly,7,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
8,8,15.329145935278072,2024-07-20 15:34:30.267554,2024-07-20 15:34:31.434749,0 days 00:00:01.167195,1.0,0.1,3,10.0,scale,poly,8,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
9,9,,2024-07-20 15:34:31.773117,2024-07-20 15:36:32.927848,0 days 00:02:01.154731,1000.0,1.0,5,0.31622776601683794,scale,poly,9,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
10,10,80.01530063746951,2024-07-20 15:36:33.351010,2024-07-20 15:37:26.243812,0 days 00:00:52.892802,1.0,0.1,5,0.31622776601683794,scale,poly,10,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
11,11,2.846353228730714,2024-07-20 15:37:26.652856,2024-07-20 15:38:29.268789,0 days 00:01:02.615933,1.0,1.0,4,0.31622776601683794,scale,poly,11,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
12,12,,2024-07-20 15:38:29.579663,2024-07-20 15:40:30.601248,0 days 00:02:01.021585,1000.0,0.1,3,0.01,scale,poly,12,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
13,13,15.329145935278072,2024-07-20 15:40:30.802913,2024-07-20 15:40:31.948257,0 days 00:00:01.145344,1.0,1.0,3,10.0,scale,poly,13,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
