,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,,2024-07-20 15:48:48.332487,2024-07-20 15:48:48.486954,0 days 00:00:00.154467,0.25118864315095796,0.0001,scale,rbf,0,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
1,1,15.38203927193121,2024-07-20 15:53:27.662836,2024-07-20 15:53:27.854636,0 days 00:00:00.191800,63.0957344480193,10.0,scale,rbf,1,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
2,2,0.9050543851297421,2024-07-20 15:53:27.898524,2024-07-20 15:53:32.014654,0 days 00:00:04.116130,0.001,0.0001,scale,rbf,2,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
3,3,15.38203927193121,2024-07-20 15:53:32.287992,2024-07-20 15:53:32.440584,0 days 00:00:00.152592,3.981071705534969,10.0,scale,rbf,3,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
4,4,0.2933356459007507,2024-07-20 15:53:32.481839,2024-07-20 15:53:34.269733,0 days 00:00:01.787894,3.981071705534969,0.21544346900318845,auto,rbf,4,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
5,5,15.38203927193121,2024-07-20 15:53:34.356176,2024-07-20 15:53:34.506967,0 days 00:00:00.150791,0.015848931924611134,10.0,auto,rbf,5,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
6,6,15.38203927193121,2024-07-20 15:53:34.549065,2024-07-20 15:53:34.704557,0 days 00:00:00.155492,0.015848931924611134,10.0,scale,rbf,6,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
7,7,0.3780446610778088,2024-07-20 15:53:34.744252,2024-07-20 15:53:38.433700,0 days 00:00:03.689448,0.25118864315095796,0.004641588833612782,auto,rbf,7,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
8,8,0.3779484734277475,2024-07-20 15:53:38.490032,2024-07-20 15:53:39.384444,0 days 00:00:00.894412,0.25118864315095796,0.21544346900318845,auto,rbf,8,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
9,9,0.9179402141486623,2024-07-20 15:53:39.437662,2024-07-20 15:53:41.509995,0 days 00:00:02.072333,0.001,0.21544346900318845,auto,rbf,9,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
10,10,0.37471067255898544,2024-07-20 15:53:41.548919,2024-07-20 15:53:45.376152,0 days 00:00:03.827233,0.25118864315095796,0.004641588833612782,scale,rbf,10,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
11,11,15.38203927193121,2024-07-20 15:53:45.470878,2024-07-20 15:53:45.617902,0 days 00:00:00.147024,0.25118864315095796,10.0,scale,rbf,11,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
12,12,0.3471268507955619,2024-07-20 15:53:45.662442,2024-07-20 15:54:25.855254,0 days 00:00:40.192812,63.0957344480193,0.0001,auto,rbf,12,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
13,13,0.2893771714637144,2024-07-20 15:54:25.908820,2024-07-20 15:54:27.439567,0 days 00:00:01.530747,63.0957344480193,0.21544346900318845,scale,rbf,13,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
14,14,0.4341909304922974,2024-07-20 15:54:27.496848,2024-07-20 15:55:54.240557,0 days 00:01:26.743709,1000.0,0.0001,scale,rbf,14,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
15,15,0.5434764084838724,2024-07-20 15:55:54.444911,2024-07-20 15:55:57.498228,0 days 00:00:03.053317,0.015848931924611134,0.0001,auto,rbf,15,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
16,16,0.3115315402544137,2024-07-20 15:55:57.551557,2024-07-20 15:55:59.457824,0 days 00:00:01.906267,1000.0,0.21544346900318845,auto,rbf,16,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
17,17,0.3780430458132531,2024-07-20 15:55:59.505431,2024-07-20 15:56:03.279322,0 days 00:00:03.773891,0.25118864315095796,0.0001,auto,rbf,17,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
18,18,0.9072928631216212,2024-07-20 15:56:03.468254,2024-07-20 15:56:06.636331,0 days 00:00:03.168077,0.001,0.0001,auto,rbf,18,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
19,19,0.4281031123855888,2024-07-20 15:56:06.679378,2024-07-20 15:57:12.222667,0 days 00:01:05.543289,1000.0,0.004641588833612782,scale,rbf,19,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
