,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
20,20,0.2963493401805247,2024-07-20 15:57:12.299958,2024-07-20 15:57:20.625674,0 days 00:00:08.325716,3.981071705534969,0.0001,scale,rbf,20,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
21,21,0.9049670086928735,2024-07-20 15:57:20.683772,2024-07-20 15:57:23.671254,0 days 00:00:02.987482,0.001,0.004641588833612782,scale,rbf,21,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
22,22,0.3439495594931572,2024-07-20 15:57:23.734091,2024-07-20 15:58:01.912950,0 days 00:00:38.178859,63.0957344480193,0.0001,scale,rbf,22,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
23,23,0.3746671374062411,2024-07-20 15:58:01.974531,2024-07-20 15:58:05.447114,0 days 00:00:03.472583,0.25118864315095796,0.0001,scale,rbf,23,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
24,24,15.38203927193121,2024-07-20 15:58:05.497485,2024-07-20 15:58:05.654872,0 days 00:00:00.157387,3.981071705534969,10.0,auto,rbf,24,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
25,25,0.3745741763161197,2024-07-20 15:58:05.701577,2024-07-20 15:58:06.638345,0 days 00:00:00.936768,0.25118864315095796,0.21544346900318845,scale,rbf,25,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
26,26,0.29262130801068925,2024-07-20 15:58:06.692371,2024-07-20 15:58:08.469929,0 days 00:00:01.777558,63.0957344480193,0.21544346900318845,auto,rbf,26,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
27,27,15.38203927193121,2024-07-20 15:58:08.533898,2024-07-20 15:58:08.693333,0 days 00:00:00.159435,0.001,10.0,scale,rbf,27,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
28,28,0.3091904725406813,2024-07-20 15:58:08.739834,2024-07-20 15:58:11.199419,0 days 00:00:02.459585,1000.0,0.21544346900318845,scale,rbf,28,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
29,29,0.9078573547541939,2024-07-20 15:58:11.293494,2024-07-20 15:58:14.776898,0 days 00:00:03.483404,0.001,0.004641588833612782,auto,rbf,29,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
30,30,0.5433189444019098,2024-07-20 15:58:14.944927,2024-07-20 15:58:17.963440,0 days 00:00:03.018513,0.015848931924611134,0.004641588833612782,auto,rbf,30,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
31,31,0.42794696319706266,2024-07-20 15:58:18.007803,2024-07-20 15:59:20.430722,0 days 00:01:02.422919,1000.0,0.004641588833612782,auto,rbf,31,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
32,32,0.29984590402487155,2024-07-20 15:59:20.488181,2024-07-20 15:59:29.209866,0 days 00:00:08.721685,3.981071705534969,0.0001,auto,rbf,32,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
33,33,0.3451442466775894,2024-07-20 15:59:29.445453,2024-07-20 15:59:59.443069,0 days 00:00:29.997616,63.0957344480193,0.004641588833612782,auto,rbf,33,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
34,34,0.5404430840060042,2024-07-20 15:59:59.504363,2024-07-20 16:00:00.786969,0 days 00:00:01.282606,0.015848931924611134,0.21544346900318845,auto,rbf,34,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
35,35,0.2961372732665073,2024-07-20 16:00:00.828143,2024-07-20 16:00:07.658042,0 days 00:00:06.829899,3.981071705534969,0.004641588833612782,scale,rbf,35,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
36,36,15.38203927193121,2024-07-20 16:00:07.711668,2024-07-20 16:00:07.862734,0 days 00:00:00.151066,0.001,10.0,auto,rbf,36,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
37,37,15.38203927193121,2024-07-20 16:00:07.908863,2024-07-20 16:00:08.063087,0 days 00:00:00.154224,63.0957344480193,10.0,auto,rbf,37,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
38,38,0.5394011709605324,2024-07-20 16:00:08.107563,2024-07-20 16:00:11.434938,0 days 00:00:03.327375,0.015848931924611134,0.0001,scale,rbf,38,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
39,39,0.5390182541460452,2024-07-20 16:00:11.485107,2024-07-20 16:00:14.468782,0 days 00:00:02.983675,0.015848931924611134,0.004641588833612782,scale,rbf,39,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
40,40,0.29962664152366075,2024-07-20 16:00:14.518884,2024-07-20 16:00:21.650454,0 days 00:00:07.131570,3.981071705534969,0.004641588833612782,auto,rbf,40,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
41,41,0.2896915308072085,2024-07-20 16:00:21.705718,2024-07-20 16:00:22.806011,0 days 00:00:01.100293,3.981071705534969,0.21544346900318845,scale,rbf,41,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
42,42,0.4337781432206188,2024-07-20 16:00:23.396360,2024-07-20 16:01:42.026369,0 days 00:01:18.630009,1000.0,0.0001,auto,rbf,42,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
43,43,0.3421737444935939,2024-07-20 16:01:42.076370,2024-07-20 16:02:12.394127,0 days 00:00:30.317757,63.0957344480193,0.004641588833612782,scale,rbf,43,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
44,44,15.38203927193121,2024-07-20 16:02:12.468803,2024-07-20 16:02:12.641451,0 days 00:00:00.172648,1000.0,10.0,scale,rbf,44,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
45,45,0.9154789016154138,2024-07-20 16:02:12.685334,2024-07-20 16:02:14.606727,0 days 00:00:01.921393,0.001,0.21544346900318845,scale,rbf,45,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
46,46,15.38203927193121,2024-07-20 16:02:14.649981,2024-07-20 16:02:14.819716,0 days 00:00:00.169735,0.25118864315095796,10.0,auto,rbf,46,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
47,47,15.38203927193121,2024-07-20 16:02:14.861963,2024-07-20 16:02:15.028522,0 days 00:00:00.166559,1000.0,10.0,auto,rbf,47,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
