,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,,2024-07-20 14:25:07.309806,2024-07-20 14:27:08.227066,0 days 00:02:00.917260,63.0957344480193,0.0001,scale,rbf,0,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
1,1,15.329145935278072,2024-07-20 14:27:08.579876,2024-07-20 14:27:09.862859,0 days 00:00:01.282983,0.015848931924611134,10.0,scale,rbf,1,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
2,2,15.329145935278072,2024-07-20 14:27:10.249848,2024-07-20 14:27:11.002879,0 days 00:00:00.753031,0.015848931924611134,10.0,auto,rbf,2,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
3,3,0.5195155788737709,2024-07-20 14:27:11.302938,2024-07-20 14:28:56.146854,0 days 00:01:44.843916,0.25118864315095796,0.004641588833612782,auto,rbf,3,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
4,4,,2024-07-20 14:28:56.741824,2024-07-20 14:30:58.057294,0 days 00:02:01.315470,1000.0,0.0001,scale,rbf,4,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
5,5,,2024-07-20 14:30:58.425260,2024-07-20 14:33:00.016022,0 days 00:02:01.590762,1000.0,0.0001,auto,rbf,5,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
6,6,,2024-07-20 14:33:00.395725,2024-07-20 14:35:01.931655,0 days 00:02:01.535930,1000.0,0.004641588833612782,auto,rbf,6,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
7,7,15.329145935278072,2024-07-20 14:35:02.417273,2024-07-20 14:35:06.428932,0 days 00:00:04.011659,0.25118864315095796,10.0,auto,rbf,7,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
8,8,0.5026234962184405,2024-07-20 14:35:06.907679,2024-07-20 14:35:54.857715,0 days 00:00:47.950036,0.25118864315095796,0.21544346900318845,scale,rbf,8,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
9,9,0.4498609868547797,2024-07-20 14:35:55.215795,2024-07-20 14:37:01.137795,0 days 00:01:05.922000,3.981071705534969,0.21544346900318845,auto,rbf,9,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
10,10,,2024-07-20 14:37:01.522738,2024-07-20 14:39:02.402481,0 days 00:02:00.879743,63.0957344480193,0.0001,auto,rbf,10,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
11,11,,2024-07-20 14:39:02.672913,2024-07-20 14:41:03.666734,0 days 00:02:00.993821,0.001,0.004641588833612782,scale,rbf,11,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
