,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2006-04-09 20:00:00,2006-04-10 00:00:00,-36.0,-36.88855
1,2006-04-09 21:00:00,2006-04-10 01:00:00,-39.0,-41.674706
2,2006-04-09 22:00:00,2006-04-10 02:00:00,-43.0,-41.124798
3,2006-04-09 23:00:00,2006-04-10 03:00:00,-51.0,-35.36843
4,2006-04-10 00:00:00,2006-04-10 04:00:00,-55.0,-32.97113
5,2006-04-10 01:00:00,2006-04-10 05:00:00,-48.0,-33.894844
6,2006-04-10 02:00:00,2006-04-10 06:00:00,-43.0,-36.8632
7,2006-04-10 03:00:00,2006-04-10 07:00:00,-42.0,-40.927525
8,2006-04-10 04:00:00,2006-04-10 08:00:00,-33.0,-43.283466
9,2006-04-10 05:00:00,2006-04-10 09:00:00,-27.0,-41.72471
10,2006-04-10 06:00:00,2006-04-10 10:00:00,-26.0,-40.208652
11,2006-04-10 07:00:00,2006-04-10 11:00:00,-27.0,-39.43413
12,2006-04-10 08:00:00,2006-04-10 12:00:00,-32.0,-34.30547
13,2006-04-10 09:00:00,2006-04-10 13:00:00,-36.0,-30.063387
14,2006-04-10 10:00:00,2006-04-10 14:00:00,-37.0,-29.004494
15,2006-04-10 11:00:00,2006-04-10 15:00:00,-39.0,-29.341772
16,2006-04-10 12:00:00,2006-04-10 16:00:00,-41.0,-31.583513
17,2006-04-10 13:00:00,2006-04-10 17:00:00,-39.0,-31.868673
18,2006-04-10 14:00:00,2006-04-10 18:00:00,-36.0,-32.45568
19,2006-04-10 15:00:00,2006-04-10 19:00:00,-36.0,-34.435165
20,2006-04-10 16:00:00,2006-04-10 20:00:00,-35.0,-34.633778
21,2006-04-10 17:00:00,2006-04-10 21:00:00,-36.0,-32.95907
22,2006-04-10 18:00:00,2006-04-10 22:00:00,-35.0,-31.968126
23,2006-04-10 19:00:00,2006-04-10 23:00:00,-31.0,-32.12717
24,2006-04-10 20:00:00,2006-04-11 00:00:00,-24.0,-31.410116
25,2006-04-10 21:00:00,2006-04-11 01:00:00,-22.0,-31.489298
