,y_true,y_pred
0,-7.0000000000000036,-2.4960742
1,-11.0,-0.31330252
2,-7.0000000000000036,0.44631052
3,4.0,-0.08734656
4,5.0,-5.341247
5,-4.0,-11.266706
6,2.0,-8.834709
7,1.0,0.12169885
8,-5.0,-3.1898627
9,-3.0,0.7731385
10,3.0,1.128386
11,-1.9999999999999964,-6.2600627
12,2.0,-12.731636
13,1.0,-12.65621
14,-1.0,-16.496637
15,-1.9999999999999964,-8.001444
16,-1.9999999999999964,-6.014545
17,-4.0,-5.201652
18,2.0,-3.5356421
19,22.000000000000007,-3.1910033
20,36.0,-3.4443736
21,14.0,-5.328317
22,-1.0,-0.2559371
23,-39.0,-5.8063025
24,-51.0,0.87011576
25,-51.0,-41.175636
26,-56.0,-51.64935
27,-55.0,-49.41923
28,-50.0,-47.558918
29,-46.0,-45.004623
30,-43.0,-44.98451
31,-41.0,-44.49145
32,-38.0,-41.292953
33,-30.0,-37.94308
34,-36.0,-35.912266
35,-37.0,-34.31556
36,-34.0,-36.841022
37,-39.0,-43.96357
38,-69.0,-37.011505
39,-86.0,-38.525547
40,-87.0,-37.71977
41,-79.0,-58.143574
42,-58.0,-62.12855
43,-64.0,-69.357544
44,-55.0,-69.23194
45,-51.0,-66.38238
46,-48.0,-56.623592
47,-54.0,-54.275948
48,-55.0,-49.53048
49,-53.0,-46.00446
50,-53.0,-46.963867
51,-45.0,-49.270126
52,-45.0,-51.01524
53,-51.0,-52.82493
54,-47.0,-53.12266
55,-31.0,-46.0504
56,-33.0,-45.680523
57,-32.0,-49.773678
58,-30.0,-48.13852
59,-23.0,-37.3999
60,-28.0,-34.005737
61,-27.0,-32.051414
62,-28.0,-29.473534
63,-28.0,-25.852894
64,-20.0,-24.496748
65,-30.0,-24.636122
66,-28.0,-24.533764
67,-23.0,-23.386614
68,-21.0,-20.234299
69,-22.0,-23.905388
70,-26.0,-23.354921
71,-31.0,-21.809189
72,-31.0,-20.445887
73,-31.0,-19.021559
74,-27.0,-20.25581
75,-24.0,-24.528294
76,-22.0,-25.343582
77,-17.0,-24.390903
78,-15.0,-22.757774
79,-16.0,-21.326794
80,-16.0,-18.935574
81,-14.0,-16.467781
82,-12.000000000000004,-14.350641
83,-18.0,-14.164896
84,-22.0,-14.807772
85,-14.0,-12.756292
86,-16.0,-12.2181015
